altitude_km,elevation_deg,TBS_bits,payload_type,RTT_ms,path_loss_dB,SNR_dB,n_repetitions,N_TBPHC,TB_index,direction,use_bundling,n_bundle,n_DD2A,n_UG2D,SUF_fixed,SUF_variable,throughput_fixed_bps,throughput_variable_bps,throughput_gain_percent,N_HARQ_required
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,4,3,downlink,1,4,2,4,0.125,0.333333333,18000,48000,166.6666667,14
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,4,4,downlink,1,4,1,4,0.125,0.333333333,18000,48000,166.6666667,14
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,1,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,2,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,3,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,4,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,5,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,6,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,1,downlink,0,1,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,2,downlink,0,1,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,3,downlink,0,1,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,4,downlink,0,1,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,5,downlink,0,1,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,6,downlink,0,1,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,1,downlink,1,2,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,2,downlink,1,2,5,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,3,downlink,1,2,5,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,4,downlink,1,2,4,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,5,downlink,1,2,4,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,6,downlink,1,2,3,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,1,downlink,1,4,6,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,2,downlink,1,4,5,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,3,downlink,1,4,4,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,4,downlink,1,4,3,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,5,downlink,1,4,3,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,6,6,downlink,1,4,2,6,0.125,0.375,18000,54000,200,18
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,1,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,2,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,3,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,4,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,5,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,8,6,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,21
